horizonte,posicao_encoder,posicao_relativa_horas,rotulo_posicao,peso_medio
7,20,-27,t-27,0.020871588960289955
7,21,-26,t-26,0.020876120775938034
7,22,-25,t-25,0.02088225819170475
7,23,-24,t-24,0.020886899903416634
7,24,-23,t-23,0.02088630013167858
7,25,-22,t-22,0.020880864933133125
7,26,-21,t-21,0.020872371271252632
7,27,-20,t-20,0.02086608111858368
7,28,-19,t-19,0.02086404338479042
7,29,-18,t-18,0.020864685997366905
7,30,-17,t-17,0.02086835913360119
7,31,-16,t-16,0.020874034613370895
7,32,-15,t-15,0.02088051848113537
7,33,-14,t-14,0.02089187689125538
7,34,-13,t-13,0.02090795338153839
7,35,-12,t-12,0.020927533507347107
7,36,-11,t-11,0.020945437252521515
7,37,-10,t-10,0.02095990628004074
7,38,-9,t-9,0.020973356440663338
7,39,-8,t-8,0.020990069955587387
7,40,-7,t-7,0.021011779084801674
7,41,-6,t-6,0.021039381623268127
7,42,-5,t-5,0.021072886884212494
7,43,-4,t-4,0.021112844347953796
7,44,-3,t-3,0.02115876041352749
7,45,-2,t-2,0.021210791543126106
7,46,-1,t-1,0.021264998242259026
7,47,0,t,0.021317802369594574
8,0,-47,t-47,0.01873656176030636
8,1,-46,t-46,0.019185421988368034
8,2,-45,t-45,0.019772691652178764
8,3,-44,t-44,0.020259743556380272
8,4,-43,t-43,0.020592723041772842
8,5,-42,t-42,0.020804740488529205
8,6,-41,t-41,0.02093164622783661
8,7,-40,t-40,0.021001096814870834
8,8,-39,t-39,0.02103446051478386
8,9,-38,t-38,0.021043341606855392
8,10,-37,t-37,0.021039029583334923
8,11,-36,t-36,0.02102631889283657
8,12,-35,t-35,0.021007617935538292
8,13,-34,t-34,0.020981652662158012
8,14,-33,t-33,0.02095145359635353
8,15,-32,t-32,0.0209233146160841
8,16,-31,t-31,0.02090284787118435
8,17,-30,t-30,0.020888544619083405
8,18,-29,t-29,0.020878560841083527
8,19,-28,t-28,0.02087261900305748
8,20,-27,t-27,0.020872175693511963
8,21,-26,t-26,0.02087610773742199
8,22,-25,t-25,0.020883236080408096
8,23,-24,t-24,0.020887883380055428
8,24,-23,t-23,0.020886406302452087
8,25,-22,t-22,0.020877758041024208
8,26,-21,t-21,0.020865976810455322
8,27,-20,t-20,0.020856071263551712
8,28,-19,t-19,0.020855020731687546
8,29,-18,t-18,0.0208614282310009
8,30,-17,t-17,0.02087036892771721
8,31,-16,t-16,0.020879728719592094
8,32,-15,t-15,0.020889701321721077
8,33,-14,t-14,0.020899830386042595
8,34,-13,t-13,0.020914260298013687
8,35,-12,t-12,0.020931046456098557
8,36,-11,t-11,0.02094867266714573
8,37,-10,t-10,0.020962748676538467
8,38,-9,t-9,0.020974136888980865
8,39,-8,t-8,0.02098778262734413
8,40,-7,t-7,0.02100961096584797
8,41,-6,t-6,0.021038739010691643
8,42,-5,t-5,0.02107340842485428
8,43,-4,t-4,0.021113015711307526
8,44,-3,t-3,0.021158726885914803
8,45,-2,t-2,0.0212097130715847
8,46,-1,t-1,0.02126486226916313
8,47,0,t,0.021317075937986374
9,0,-47,t-47,0.01872984692454338
9,1,-46,t-46,0.019178446382284164
9,2,-45,t-45,0.019764941185712814
9,3,-44,t-44,0.020250488072633743
9,4,-43,t-43,0.020580502226948738
9,5,-42,t-42,0.020792122930288315
9,6,-41,t-41,0.020922919735312462
9,7,-40,t-40,0.020997125655412674
9,8,-39,t-39,0.02103506773710251
9,9,-38,t-38,0.021049417555332184
9,10,-37,t-37,0.021047435700893402
9,11,-36,t-36,0.02103562466800213
9,12,-35,t-35,0.021014884114265442
9,13,-34,t-34,0.020987441763281822
9,14,-33,t-33,0.020955653861165047
9,15,-32,t-32,0.020925210788846016
9,16,-31,t-31,0.020900987088680267
9,17,-30,t-30,0.02088581956923008
9,18,-29,t-29,0.020877055823802948
9,19,-28,t-28,0.020872812718153
9,20,-27,t-27,0.02087247744202614
9,21,-26,t-26,0.020876670256257057
9,22,-25,t-25,0.02088281884789467
9,23,-24,t-24,0.020887820050120354
9,24,-23,t-23,0.020886540412902832
9,25,-22,t-22,0.02087717317044735
9,26,-21,t-21,0.0208621583878994
9,27,-20,t-20,0.020848946645855904
9,28,-19,t-19,0.020843587815761566
9,29,-18,t-18,0.020849084481596947
9,30,-17,t-17,0.020861782133579254
9,31,-16,t-16,0.020876001566648483
9,32,-15,t-15,0.020890604704618454
9,33,-14,t-14,0.02090614289045334
9,34,-13,t-13,0.020922640338540077
9,35,-12,t-12,0.02094046212732792
9,36,-11,t-11,0.020956609398126602
9,37,-10,t-10,0.020969774574041367
9,38,-9,t-9,0.020980071276426315
9,39,-8,t-8,0.020991671830415726
9,40,-7,t-7,0.02101055532693863
9,41,-6,t-6,0.021039621904492378
9,42,-5,t-5,0.021076124161481857
9,43,-4,t-4,0.021117722615599632
9,44,-3,t-3,0.021163858473300934
9,45,-2,t-2,0.0212148018181324
9,46,-1,t-1,0.02126886323094368
9,47,0,t,0.021321790292859077
10,0,-47,t-47,0.018735304474830627
10,1,-46,t-46,0.019184021279215813
10,2,-45,t-45,0.019769717007875443
10,3,-44,t-44,0.020252235233783722
10,4,-43,t-43,0.020578915253281593
10,5,-42,t-42,0.020785804837942123
10,6,-41,t-41,0.020915426313877106
10,7,-40,t-40,0.020992251113057137
10,8,-39,t-39,0.02103387750685215
10,9,-38,t-38,0.02105085924267769
10,10,-37,t-37,0.02105058915913105
10,11,-36,t-36,0.021038027480244637
10,12,-35,t-35,0.021017402410507202
10,13,-34,t-34,0.020990129560232162
10,14,-33,t-33,0.020959800109267235
10,15,-32,t-32,0.020929532125592232
10,16,-31,t-31,0.020903676748275757
10,17,-30,t-30,0.020885048434138298
10,18,-29,t-29,0.020875608548521996
10,19,-28,t-28,0.020872199907898903
10,20,-27,t-27,0.02087237872183323
10,21,-26,t-26,0.02087528072297573
10,22,-25,t-25,0.020879950374364853
10,23,-24,t-24,0.02088344097137451
10,24,-23,t-23,0.020883597433567047
10,25,-22,t-22,0.0208768080919981
10,26,-21,t-21,0.020863395184278488
10,27,-20,t-20,0.0208488367497921
10,28,-19,t-19,0.02084139920771122
10,29,-18,t-18,0.020842796191573143
10,30,-17,t-17,0.020855030044913292
10,31,-16,t-16,0.02087249793112278
10,32,-15,t-15,0.02089112438261509
10,33,-14,t-14,0.02090933546423912
10,34,-13,t-13,0.020927177742123604
10,35,-12,t-12,0.020943673327565193
10,36,-11,t-11,0.02095961570739746
